No of trials,BlockSize,MegaTrials/ sec,Probability,,,,,,,,,,
1024,8,31.25,75.2,,,,,Sum of MegaTrials/ sec,Column Labels,,,,
1024,32,26.3158,76.07,,,,,Row Labels,8,32,64,128,Grand Total
1024,64,34.4828,75,,,,,1024,31.25,26.3158,34.4828,31.25,123.2986
1024,128,31.25,75.49,,,,,4096,137.931,142.8571,137.931,129.0323,547.7514
4096,8,137.931,73.29,,,,,16384,432.4324,457.1428,500,551.7241,1941.2993
4096,32,142.8571,74.34,,,,,65536,1505.8824,1796.4913,1801.2312,1905.1162,7008.7211
4096,64,137.931,73.17,,,,,262144,2924.6699,4754.4981,4902.4535,4946.8598,17528.4813
4096,128,129.0323,74.85,,,,,1048576,4053.9404,9694.6749,9378.3627,10275.3212,33402.2992
16384,8,432.4324,74.69,,,,,2097152,4326.9509,11277.9216,12024.954,12125.0695,39754.896
16384,32,457.1428,74.77,,,,,Grand Total,13413.057,28149.9016,28779.4152,29964.3731,100306.7469
16384,64,500,74.72,,,,,,,,,,
16384,128,551.7241,74.57,,,,,,,,,,
65536,8,1505.8824,74.71,,,,,8,32,64,128,,
65536,32,1796.4913,74.42,,,,1024,31.25,26.3158,34.4828,31.25,,
65536,64,1801.2312,74.5,,,,4096,137.931,142.8571,137.931,129.0323,,
65536,128,1905.1162,74.5,,,,16384,432.4324,457.1428,500,551.7241,,
262144,8,2924.6699,74.86,,,,65536,1505.8824,1796.4913,1801.2312,1905.1162,,
262144,32,4754.4981,74.64,,,,262144,2924.6699,4754.4981,4902.4535,4946.8598,,
262144,64,4902.4535,74.81,,,,1048576,4053.9404,9694.6749,9378.3627,10275.3212,,
262144,128,4946.8598,74.71,,,,2097152,4326.9509,11277.9216,12024.954,12125.0695,,
1048576,8,4053.9404,74.63,,,,,,,,,,
1048576,32,9694.6749,74.71,,,,,,,,,,
1048576,64,9378.3627,74.71,,,,,,,,,,
1048576,128,10275.3212,74.75,,,,,,,,,,
2097152,8,4326.9509,74.74,,,,,,,,,,
2097152,32,11277.9216,74.65,,,,,,,,,,
2097152,64,12024.954,74.73,,,,,,,,,,
2097152,128,12125.0695,74.69,,,,,,,,,,
